ID,Unnamed: 0,Rank,Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Skill moves,Preferred foot,Height,Weight,Alternative positions,Age,Nation,League,Team,play style,url,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
0,0,1,Kylian Mbappé,91,97,90,80,92,36,78,97,97,93,94,90,83,84,84,83,78,69,86,71,80,93,93,82,93,92,88,38,73,26,34,32,88,88,77,64,ST,4,5,Right,"182cm / 6'0""",75kg / 165lb,LW,25,France,LALIGA EA SPORTS,Real Madrid,"Quick Step+, Acrobatic, Finesse Shot, Flair, Rapid, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kylian-mbappe/231747,,,,,
1,1,2,Rodri,91,66,80,86,84,87,85,65,66,76,74,92,89,71,62,84,76,64,93,91,86,84,66,67,93,90,94,84,81,92,87,82,83,91,83,85,CDM,4,3,Right,"191cm / 6'3""",82kg / 181lb,CM,28,Spain,Premier League,Manchester City,"Tiki Taka+, Aerial, Bruiser, Long Ball Pass, Power Shot, Press Proven",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rodri/231866,,,,,
2,2,4,Erling Haaland,91,88,92,70,81,45,88,80,94,96,96,94,83,90,90,74,58,62,77,66,77,79,77,69,94,83,87,43,83,38,47,29,92,76,93,88,ST,3,3,Left,"195cm / 6'5""",94kg / 207lb,,24,Norway,Premier League,Manchester City,"Acrobatic+, Bruiser, Power Header, Power Shot, Press Proven",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/erling-haaland/239085,,,,,
3,3,5,Jude Bellingham,90,80,87,83,88,78,83,81,80,91,90,85,86,77,74,90,66,68,89,89,73,89,82,79,91,89,87,82,75,77,79,77,84,93,77,85,CAM,4,4,Right,"186cm / 6'1""",75kg / 165lb,CM,21,England,LALIGA EA SPORTS,Real Madrid,"Relentless+, Flair, Intercept, Slide Tackle, Technical",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jude-bellingham/252371,,,,,
4,4,7,Vini Jr.,90,95,84,81,91,29,69,95,95,87,89,81,83,73,71,85,81,62,83,77,79,93,94,84,86,90,83,26,50,32,25,18,74,84,65,58,LW,4,5,Right,"176cm / 5'9""",73kg / 161lb,"ST, LM",24,Brazil,LALIGA EA SPORTS,Real Madrid,"Quick Step+, Chip Shot, Finesse Shot, First Touch, Flair, Rapid, Trivela",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/vini-jr/238794,,,,,
16548,387,970,Victoria Pelova,78,76,71,75,80,35,61,75,76,80,73,67,71,71,66,82,72,61,76,73,63,80,79,85,79,81,73,31,45,37,32,40,62,74,57,52,CAM,4,4,Right,"163cm / 5'4""",55kg / 121lb,"CM, RW",25,Holland,Barclays WSL,Arsenal,Press Proven,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/victoria-pelova/244064,,,,,
16549,388,970,Itziar Pinillos,78,74,59,76,80,72,73,75,73,70,62,51,59,54,54,80,74,50,80,75,60,81,81,81,81,80,75,75,35,75,78,77,62,86,70,66,RB,3,3,Right,"164cm / 5'5""",54kg / 119lb,RM,23,Spain,Liga F,Levante Badalona,"Anticipate, Block, Intercept, Jockey, Long Throw",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/itziar-pinillos/272064,,,,,
16550,389,970,Quinn,78,35,46,69,67,78,72,35,35,57,36,57,53,54,43,70,44,51,84,79,52,65,59,63,74,73,69,75,67,79,83,77,67,54,80,77,CDM,3,3,Right,"175cm / 5'9""",62kg / 137lb,CM,29,Canada,NWSL,Seattle Reign,,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/quinn/227404,,,,,
16551,390,970,Nuria Rábano,78,77,60,73,74,78,60,76,78,69,57,63,62,57,63,74,69,60,82,69,55,70,76,76,78,79,73,78,69,79,81,71,70,66,52,69,LB,3,3,Left,"165cm / 5'5""",57kg / 126lb,,25,Spain,GPFBL,VfL Wolfsburg,Jockey,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nuria-rabano/271444,,,,,
16552,391,970,Maximiliane Rall,78,72,67,76,76,76,78,71,73,73,68,69,60,71,63,75,79,53,80,78,65,74,71,78,85,80,77,75,80,80,72,70,89,77,85,59,RB,5,3,Right,"180cm / 5'11""",71kg / 157lb,RM,30,Germany,NWSL,Chicago Red Stars,"Rapid, Whipped Pass",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/maximiliane-rall/264901,,,,,
16553,392,970,Ali Riley,78,78,58,72,76,74,77,77,79,63,48,72,62,59,68,63,77,60,77,70,72,75,81,71,78,77,79,75,68,78,71,79,83,75,81,67,RB,3,3,Right,"163cm / 5'4""",56kg / 123lb,LB,36,New Zealand,NWSL,Angel City FC,Anticipate,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ali-riley/233343,,,,,
